微博id,发布者,微博正文,原始图片url,被转发微博原始图片url,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Jp1EvnlEt,李刚林-,李刚林-:发表了博文《包世臣答熙载九问》包世臣答熙载九问  原图 ,无,无,True,无,2020-10-13 19:14,新浪博客,0,0,0
Jp1EqEDYW,寒轩-LL,"转发理由:#尚九熙[超话]# #尚九熙德云断头台# #别人模仿不了的是尚九熙# 手到用时方恨残[二哈]油菜花的头友们快来  
原始用户: 德云尚九熙宇宙后援团
转发内容: #尚九熙[超话]# [打call] #尚九熙德云断头台# 独一无二的尚九熙独一无二的头友 #别人模仿不了的是尚九熙# 主题活动来袭爱意比不过的是尚九熙的头友小曲小调小知识，涉猎广泛印象深多才多艺样样通，结构节奏妥妥当台上的尚老师以风格独特使他的作品印象深刻独一无二，作为他的头友，后院相信不说十八般武艺样样精通，也是心灵手巧脑洞大开，小词儿小画来亮相，秀出你心中断头台。📣此次活动，请大家根据尚九熙老师的相声动动脑筋，画出你最喜欢的高能场面或者写出你的段子文案改编，将作品带词条 #别人模仿不了的是尚九熙#发到此条【微博的评论区】，来参与互动吧！⏰活动时间:2020.10.13 19点-2020.10.16 19点🎁我们将选出【画画作品】点赞第一名、第二名和【段子文案】点赞第一名的头友送上我们的小礼物，请各位头友奉上你独一无二的才华，来描绘你心里独一无二的尚九熙吧！铁汁们，咱们评论区见！后院率先给大家展示个举二反六！“朝夕并往，逐浪远方，丹青执笔伴你依旧；独一无二，皎皎白驹，总有目光为你停留。”专注自家，专注自家喜欢的人和事儿，skr～ [组图共3张] 原图 ",无,无,False,无,2020-10-13 19:14,尚九熙超话,10,0,4
JoZoOa2Nc,你有本事下来啊,你有本事下来啊:#尚九熙[超话]#🔸#尚九熙德云断头台# 妈妈说，男孩子闭眼嘟嘴是要________📍20201004     尚九熙开箱#别人模仿不了的是尚九熙# 长按🉑查看原图，用图移步主页置顶，抱图评论[飞镖黄跳舞] 北京  显示地图 原图 ,无,无,True,#别人模仿不了的是尚九熙#,2020-10-13 13:30,尚九熙超话,80,0,27
JoZmScXng,紫旋Morado_,紫旋Morado_:#尚九熙德云断头台# 愿你能找到少年时心里的小恐龙和剑龙的背上的剑  [组图共2张] 原图 ,无,无,True,无,2020-10-13 13:25,尚九熙超话,709,12,31
JoZeNBQfc,一兜星星鸭,一兜星星鸭:#尚九熙[超话]##尚九熙德云斗笑社##尚九熙# 我可太喜欢尚秃秃说东北话了整场下来  被可爱到醉奶(欠我们的八秒请及时归还 🙋🙋🙋 @尚九熙) 一兜星星鸭的微博视频  ,无,无,True,无,2020-10-13 13:05,尚九熙超话,189,9,26
JoZctbCQL,百笑汇,百笑汇:#德云社#【九华吃醋现场】九熙看见九华为老秦整理头发，笑容消失，九华有很多朋友，而九熙只有九华 百笑汇的微博视频  ,无,无,True,无,2020-10-13 13:00,微博网页,14,0,2
JoZclrequ,EternalSummer昕,"转发理由:哈哈哈哈哈哈我也想背小企鹅！！九熙家政可不可以也来一趟我家  
原始用户: 青鱼刺那么多
转发内容: 看昨天直播时候的一点脑洞，不要当真  [组图共4张] 原图 ",无,无,False,无,2020-10-13 12:59,尚九熙V+,50,0,1
JoZ1woCdJ,xin想sunshine,xin想sunshine:我在#德云斗笑社#斗笑能量榜为#尚九熙德云斗笑社#  助力，说学逗唱的哥哥加油！德云斗笑社斗笑能量榜  ,无,无,True,无,2020-10-13 12:33,vivo U3x 闪充大电池,0,0,0
JoZ1fhtnT,xin想sunshine,xin想sunshine:我在#德云斗笑社#斗笑能量榜#尚九熙德云斗笑社# 助力，说学逗唱的哥哥加油！昨天的直播太短了 德云斗笑社斗笑能量榜  ,无,无,True,无,2020-10-13 12:32,vivo U3x 闪充大电池,0,0,0
JoZ0GrwYK,ddddddddddddddddddDai,"转发理由:哈哈哈哈哈哈哈哈哈哈哈哈哈//@紫旋Morado_:@ 尚 九熙 ，请带走你的心动女嘉宾#尚九熙[超话]##德云斗笑社#  
原始用户: gameru-leeleeli
转发内容: #尚九熙[超话]# 🙉🙈🙊#尚九熙德云斗笑社# 感谢上一条图画下面每一个带梗的朋友。祝你们都是有两小鬏鬏的女孩子！禁二改二传转载请注明出处谢谢～  [组图共4张] 原图 ",无,无,False,无,2020-10-13 12:31,HUAWEI P30 Pro,0,0,0
JoYZ5bBpO,你脸上有灰自己擦擦吧,你脸上有灰自己擦擦吧:虽然梦见九熙，but  晚上依旧睡不好  原图 ,无,无,True,无,2020-10-13 12:27,iPhone客户端,0,0,0
JoYXWgtQE,不詺_,不詺_:被九熙直播说的贼馋麻辣拌我这个没有麻酱看看正不正宗@尚九熙  原图 ,无,无,True,无,2020-10-13 12:24,🍙Android,0,0,0
JoYXBhH3d,不想做圆圆的媛媛,"转发理由:哈哈哈哈哈哈哈哈哈哈哈//@紫旋Morado_:@ 尚 九熙 ，请带走你的心动女嘉宾#尚九熙[超话]##德云斗笑社#   
原始用户: gameru-leeleeli
转发内容: #尚九熙[超话]# 🙉🙈🙊#尚九熙德云斗笑社# 感谢上一条图画下面每一个带梗的朋友。祝你们都是有两小鬏鬏的女孩子！禁二改二传转载请注明出处谢谢～  [组图共4张] 原图 ",无,无,False,无,2020-10-13 12:23,HUAWEI nova 3,0,0,0
JoYUe35Ev,八卦小钢炮,八卦小钢炮:#德云斗笑社#孟鹤堂让杨九郎用屁股写“对不起”？这画面太搞笑了！哈哈哈哈！九熙：给你们省了“弹幕组”的钱！ 八卦小钢炮的微博视频  ,无,无,True,无,2020-10-13 12:15,微博网页,4,0,1
JoYTkejLl,大杯冰淇淋红茶去冰三分糖,"转发理由:哈哈哈哈哈哈哈哈//@AK热心市民杨女士:救命🆘谁能救救孩子//@紫旋Morado_:@ 尚 九熙 ，请带走你的心动女嘉宾#尚九熙[超话]##德云斗笑社#  
原始用户: gameru-leeleeli
转发内容: #尚九熙[超话]# 🙉🙈🙊#尚九熙德云斗笑社# 感谢上一条图画下面每一个带梗的朋友。祝你们都是有两小鬏鬏的女孩子！禁二改二传转载请注明出处谢谢～  [组图共4张] 原图 ",无,无,False,无,2020-10-13 12:12,iPhone客户端,0,0,0
JoYQP0UnY,随遇而安_0404,"转发理由:顺毛熙熙好乖啊#尚九熙德云斗笑社#   
原始用户: 可乐会冒泡-Katrina
转发内容: #尚九熙[超话]#🎈#尚九熙德云斗笑社# “你 比 光 耀 眼”抱图吱声｜授权看置顶  原图 ",无,无,False,无,2020-10-13 12:06,iPhone客户端,0,1,0
JoYMggWMe,可乐会冒泡-Katrina,可乐会冒泡-Katrina:#尚九熙[超话]#🎈#尚九熙德云斗笑社# “你 比 光 耀 眼”抱图吱声｜授权看置顶  原图 ,无,无,True,无,2020-10-13 11:55,尚九熙超话,127,6,23
JoYJYnqbl,恣壹--,恣壹--:内什么，九熙九华去年专场都有官录吗？如果有，还能等到吗？真的想看啊！#尚九熙何九华#  ,无,无,True,无,2020-10-13 11:49,荣耀V9 我想要的快,2,0,1
JoYJT4qeP,阿甘很正啊,阿甘很正啊:#尚九熙[超话]##尚九熙德云断头台# 不要害怕前路漫漫 同行的人不会走散❤️❤️❤️❤️❤️❤️❤️ 重庆  显示地图 [组图共4张] 原图 ,无,无,True,#尚九熙德云断头台#,2020-10-13 11:49,尚九熙超话,7,0,0
JoYG0yA66,笑死菌,笑死菌:#德云斗笑社##德云社#【孟鹤堂 周九良 杨九郎 尚九熙】刺激！九良九郎玩打腿游戏~堂堂九熙要足疗？没有正片，那就先看看预告吧~ 笑死菌的微博视频  ,无,无,True,无,2020-10-13 11:40,微博网页,32,2,1
JoYDaqI31,尚九熙个人粉丝数记录博,尚九熙个人粉丝数记录博:#尚九熙[超话]##尚九熙德云斗笑社#  截止到10月13日11时30分，尚老师粉丝数：2501327，相比昨日+2369  原图 ,无,无,True,无,2020-10-13 11:33,尚九熙超话,50,0,13
JoYC55FbG,小说太好看了,小说太好看了:二哥跟芳芳人太好了 还有就是心疼九熙  ,无,无,True,无,2020-10-13 11:30,前后2000万 OPPO R11s,0,0,0
JoYxrzHIK,荣耀HONOR四川,"转发理由:10月17-18日来春熙路#朝九晚五自如开锅[超话]#职场攀升、江湖过招，一起释FUN全场，嗨翻周末！  
原始用户: 成都自如ZIROOM
转发内容: #职场管家联盟#第二季【自如X蜀大侠】#朝九晚五自如开锅#职场快闪店热辣来袭~10月17-18日来春熙路#朝九晚五自如开锅[超话]#职场攀升、江湖过招，一起释FUN全场，嗨翻周末！把生活交给 #职场管家联盟#打理！让你生活更自如！赶快关注@成都自如ZIROOM,卷发微博，木木于10月22日揪5位小伙伴送【自如职场充电礼包】还不高调转起来！@微博抽奖平台 http://t.cn/A6bockpC 原图 ",无,无,False,无,2020-10-13 11:18,荣耀30 5G,2,0,0
JoYvigvsK,酒酿桃叽Oo-,酒酿桃叽Oo-:#尚九熙[超话]# 🐧#尚九熙德云斗笑社# “哎 哎 哎 这后面的干嘛呢！”“走！！快跟上我！我们一起去找恐龙🦖” #尚九熙#  [组图共4张] 原图 ,无,无,True,无,2020-10-13 11:13,尚九熙超话,90,1,13
JoYrMtLEx,随遇而安_0404,"转发理由:#尚九熙德云斗笑社#   
原始用户: gameru-leeleeli
转发内容: #尚九熙[超话]# 🦖#尚九熙德云斗笑社# 1.食肉牛龙的角不是这么用的。2.我只是单纯想画短裤（tuimao）不代表尚老师的穿着。3.顶灯真的不是企鹅。4.这个动作我纯粹为了不想画太多衣服上的图案～5.恐龙真的不会嘤嘤嘤叫唤，我也没有捎带某教授【食肉牛龙我太熟了，家大王超喜欢食肉牛龙，原因是很厉害，她经常在霸王龙/食肉牛龙/迅猛龙之中无法抉择】 原图 ",无,无,False,无,2020-10-13 11:05,iPhone客户端,0,0,0
JoYmDlWNc,gameru-leeleeli,gameru-leeleeli:#尚九熙[超话]# 🙉🙈🙊#尚九熙德云斗笑社# 感谢上一条图画下面每一个带梗的朋友。祝你们都是有两小鬏鬏的女孩子！禁二改二传转载请注明出处谢谢～  [组图共4张] 原图 ,无,无,True,无,2020-10-13 10:52,尚九熙超话,757,75,163
JoYm0mMdv,徐姣的姣,徐姣的姣:#别人模仿不了的是尚九熙# 尚是时尚的尚 fashion九是七八九的九 nine熙是ABC的 xi你就是你  独一无二的尚九熙  原图 ,无,无,True,无,2020-10-13 10:50,HUAWEI P20,0,0,0
JoY4ozo0m,_雯布丁,"转发理由:真 就一下和九熙一起上@德云女孩之Alisa  
原始用户: 聚逗场
转发内容: #德云社##相声#尚九熙和何九华的姓被这个孩子改了，粉丝笑了！ 聚逗场的微博视频  ",无,无,False,无,2020-10-13 10:07,iPhone SE,1,0,1
JoY221Otp,丫灵山大,丫灵山大:#尚九熙德云斗笑社#现在大家看到的，是腿磨没前的食肉牛龙  原图 ,无,无,True,无,2020-10-13 10:01,尚九熙超话,10,0,2
JoY1Kwc3U,红色小熊饼干,"转发理由://@德云尚九熙宇宙后援团:#尚九熙[超话]# #尚九熙德云斗笑社# #尚九熙德云断头台#   
原始用户: 星饭娱乐
转发内容: 【@尚九熙 直播31分钟完整cut 1080P】#尚九熙直播#官方发布的时长是29:52，我这里是31:19，快来看吧尚九熙：“我在家了，昨天晚上杀青了，我们还举行了庆功宴......不能看我的衣柜，衣柜里藏人呢......尚九熙连线郭麒麟，少班主正在搬家，收拾东西呢......尚九熙连线刘筱亭，刚说高铁上还能连线呢，结果信号掉了......出画册可能还需要等一等......正常的麻辣拌都是酸甜口的，带麻酱的麻辣拌根本就不是我小时候吃过的，我老家还有一个东西叫麻辣盆......” http://t.cn/A6bSGb5j ",无,无,False,无,2020-10-13 10:00,nova4自拍极点全面屏,0,0,0
JoY0ssEpd,种白菜呀种白菜,种白菜呀种白菜:#尚九熙[超话]##尚九熙直播# 我站在北方的寒风中瑟瑟发抖他穿着毛裤和我说你再冻一宿[跪了]——来自即将冻死的白菜图一@酒酿桃叽Oo-  [组图共2张] 原图 ,无,无,True,无,2020-10-13 09:57,尚九熙超话,224,4,82
JoXX45oen,毛茸茸的团子呀,"转发理由:#尚九熙直播# 宝贝太可爱了  
原始用户: 吸熙妙妙屋
转发内容: ▪️｜尚九熙直播记录 吸熙妙妙屋的微博视频  ",无,无,False,无,2020-10-13 09:49,iPhone客户端,0,0,0
JoXWe2NlE,princeyyy-,princeyyy-:虽然房子塌了我发现我还是超爱尚九熙！！！  ,无,无,True,无,2020-10-13 09:47,iPhone XS Max,2,0,3
JoXVrkCzY,红颜J小姐,红颜J小姐:#尚九熙[超话]##尚九熙德云断头台# 我爱豆昨天直播的背景音乐。伍迪艾伦的《午夜巴黎》《蓝色茉莉》我都非常爱。那个复古法式腔调，那个悲戚戚的浪漫落寞。午夜巴黎是拿了奥斯卡最佳剧本的。布兰切凭借蓝色茉莉斩获奥斯卡影后。我爱豆能用这个做直播bgm，足见骨子里深邃且由来已久的法式浪漫。尚九熙呀，依旧是那个最初的，爱着艺术的文艺少年…怎么可以错过他！ [组图共2张] 原图 ,无,无,True,无,2020-10-13 09:45,尚九熙超话,76,0,10
JoXLvgMZA,任宋宋宋宋,任宋宋宋宋:#尚九熙[超话]##尚九熙德云断头台# 吃烤肉的时候也惊喜发现了九熙啊满心满眼都是这个男人 齐齐哈尔·齐齐哈尔大学  显示地图 原图 ,无,无,True,#尚九熙德云断头台#,2020-10-13 09:20,尚九熙超话,3,0,0
JoXESbJHs,师傅的相声社,师傅的相声社:【#德云社#尚九熙 栾云平】九熙逼迫用大喇叭高八度讲话，隔壁班歌声入侵，抱歉，9C！我想爬会儿墙~ 师傅的相声社的微博视频  ,无,无,True,无,2020-10-13 09:04,微博云剪,86,1,2
JoXCWdyUt,慕杬,慕杬:我说喜欢尚九熙，尚九熙直播我加班。我说喜欢杨九郎，杨九郎直播我加班。算了算了…我不配我还是觉得王霄颐最好至少他不直播我就不用加班了🙈  ,无,无,True,无,2020-10-13 08:59,王有才Android,5,0,2
JoXqvhbOQ,天桥区的烤苞米,"转发理由:崽崽下播下的措不及防//@给乐儿听_溜儿:意犹未尽#尚九熙德云斗笑社#  
原始用户: 星饭娱乐
转发内容: 【@尚九熙 直播31分钟完整cut 1080P】#尚九熙直播#官方发布的时长是29:52，我这里是31:19，快来看吧尚九熙：“我在家了，昨天晚上杀青了，我们还举行了庆功宴......不能看我的衣柜，衣柜里藏人呢......尚九熙连线郭麒麟，少班主正在搬家，收拾东西呢......尚九熙连线刘筱亭，刚说高铁上还能连线呢，结果信号掉了......出画册可能还需要等一等......正常的麻辣拌都是酸甜口的，带麻酱的麻辣拌根本就不是我小时候吃过的，我老家还有一个东西叫麻辣盆......” http://t.cn/A6bSGb5j ",无,无,False,无,2020-10-13 08:29,HUAWEI P40 5G,0,0,0
JoXqcoFiL,XIYAN兮言,"转发理由:码//@德云尚九熙宇宙后援团:#尚九熙[超话]# #尚九熙德云斗笑社# #尚九熙德云断头台#   
原始用户: 星饭娱乐
转发内容: 【@尚九熙 直播31分钟完整cut 1080P】#尚九熙直播#官方发布的时长是29:52，我这里是31:19，快来看吧尚九熙：“我在家了，昨天晚上杀青了，我们还举行了庆功宴......不能看我的衣柜，衣柜里藏人呢......尚九熙连线郭麒麟，少班主正在搬家，收拾东西呢......尚九熙连线刘筱亭，刚说高铁上还能连线呢，结果信号掉了......出画册可能还需要等一等......正常的麻辣拌都是酸甜口的，带麻酱的麻辣拌根本就不是我小时候吃过的，我老家还有一个东西叫麻辣盆......” http://t.cn/A6bSGb5j ",无,无,False,无,2020-10-13 08:28,iQOO Neo,0,0,0
JoXkW6ZzQ,淘宝贝0119,淘宝贝0119:#尚九熙[超话]##尚九熙直播# 开了大眼特效的熙熙～🤪  原图 ,无,无,True,无,2020-10-13 08:15,尚九熙超话,108,1,23
JoXjaxyt3,奥利奥可可奶茶,"转发理由:九熙的每一个演出都很印象深刻#德云斗笑社# 成都助演的 学哑语 ，小园子里小专场和九良的 黄鹤楼 这两个印象最深刻#尚九熙德云斗笑社#   
原始用户: 腾讯视频德云斗笑社
转发内容: #德云斗笑社#【来个现褂】如果让你分享印象最深刻的一段演出，你会________________？  原图 ",无,无,False,无,2020-10-13 08:11,莫有头滴iPhone 11,0,0,0
JoXfZ60qp,是甜熙熙的我啊,是甜熙熙的我啊:今天也是很爱尚九熙的一天🆒👨  [组图共9张] 原图 ,无,无,True,无,2020-10-13 08:03,HUAWEI Mate 30 5G,0,0,0
JoX9FzgOn,星晚__,星晚__:#尚九熙[超话]# [心]#尚九熙德云断头台# 早安 尚熙熙早安 头头们今天也要开心鸭  原图 ,无,无,True,无,2020-10-13 07:47,尚九熙超话,24,0,5
JoX8KAMvt,熊宝宝水晶_aaj,熊宝宝水晶_aaj:#尚九熙[超话]#  就是个小孩子，还说小时候特别喜欢，明明现在也特别喜欢，说起恐龙和麻辣拌那是满眼可见的兴奋啊。小孩子有吃有玩可以乐呵一天。愿独一无二的尚九熙一直如此快乐[心]#别人模仿不了的是尚九熙##尚九熙德云斗笑社#  [组图共3张] 原图 ,无,无,True,无,2020-10-13 07:45,尚九熙超话,25,1,3
JoX23muia,云端上的小兔,云端上的小兔:#尚九熙[超话]#💗#尚九熙德云断头台#        “来，让我抚顺麻辣拌推广大使告诉你们麻辣拌到底有多好吃～”[污]📷：@何柠七 🛠：me  原图 ,无,无,True,无,2020-10-13 07:28,尚九熙超话,33,0,4
JoX1nsapN,芋尼豆奶啵,芋尼豆奶啵:#尚九熙[超话]# 🦕 #尚九熙德云斗笑社#  螃蟹睡衣熙熙一脸懵的在床上其实很想知道熙熙没刘海带个螃蟹头干嘛[并不简单]是为了装可爱吗  原图 ,无,无,True,无,2020-10-13 07:27,尚九熙超话,186,1,23
JoWU5EK33,尚九熙的观众,"转发理由://@给乐儿听_溜儿:意犹未尽#尚九熙德云斗笑社#  
原始用户: 星饭娱乐
转发内容: 【@尚九熙 直播31分钟完整cut 1080P】#尚九熙直播#官方发布的时长是29:52，我这里是31:19，快来看吧尚九熙：“我在家了，昨天晚上杀青了，我们还举行了庆功宴......不能看我的衣柜，衣柜里藏人呢......尚九熙连线郭麒麟，少班主正在搬家，收拾东西呢......尚九熙连线刘筱亭，刚说高铁上还能连线呢，结果信号掉了......出画册可能还需要等一等......正常的麻辣拌都是酸甜口的，带麻酱的麻辣拌根本就不是我小时候吃过的，我老家还有一个东西叫麻辣盆......” http://t.cn/A6bSGb5j ",无,无,False,无,2020-10-13 07:09,熙熙华华Android,1,0,0
JoWS9Fs4F,师傅的相声社,师傅的相声社:【#德云社#杨九郎 尚九熙】九郎把内裤塞9C嘴里，九熙：这味儿还挺甜！ 师傅的相声社的微博视频  ,无,无,True,无,2020-10-13 07:04,德云社超话,348,16,11
JoWxJf7iy,老的一把枪,老的一把枪:尚九熙直播回放http://t.cn/A6bSsTyd  ,无,无,True,无,2020-10-13 06:14,微博 weibo.com,0,0,0
JoWfP24kX,ZHIMING法律博主WUJNRONG,ZHIMING法律博主WUJNRONG:#天眼黑鹰[超话]##德云斗笑社# 德云社的男人们体验过山车~尚九熙直接腿软，周九良精神涣散！秦霄贤胆子大啊！ 娱情八局的微博视频  ,无,无,True,无,2020-10-13 05:30,天眼黑鹰超话,20,7,0
JoVVEf78Q,金牛的生活态度,金牛的生活态度:我关注了尚九熙超话，小伙伴们快来加入尚九熙超话一起聊聊吧~戳这里→ 尚九熙  ,无,无,True,无,2020-10-13 04:40,超话,0,0,0
JoUSwk2qf,仲夏酒的猫,仲夏酒的猫:#尚九熙德云斗笑社# 晚上睡不着该干嘛呢？给尚老师修图啊，什么法令纹黑眼圈胡茬儿的，通通磨掉，于是我就拥有了白白嫩嫩尚熙熙  [组图共2张] 原图 ,无,无,True,无,2020-10-13 01:59,nova6 自拍大不一样,2,0,0
JoUFkFbQl,home糖毓,home糖毓:#追星# 一点多看了尚九熙直播，他劝我不要熬夜，我决定听劝，好了我睡了，宇宇子和华华晚安  ,无,无,True,无,2020-10-13 01:27,nova7你在焦点在,0,0,1
JoUBKqtxR,黄Ying蓉容荣,黄Ying蓉容荣:成功入坑成为一个“德云女孩”每天看一些相声片段看我喜欢的角儿们好开心好快乐每天防止抑郁九南九龄九龙老秦栾队熙熙堂堂橘猫大林子小白...好多好多好多好多喜欢的❤️希望角儿们可以继续带给我们快乐呀  ,无,无,True,无,2020-10-13 01:18,nova4自拍极点全面屏,2,0,0
JoUAjxaUw,你口袋里有时光机嘛,你口袋里有时光机嘛:看了点瓜田的瓜  你别说还真有意思  有些人真的是阴谋算尽  某些粉 也是随了正主了  随他们去吧  真的假不了   还是脚踏实地最重要  不耍心机  靠着自己的本事一嘴一嘴的说到开专场  还能有几个  我真的太喜欢尚九熙了  小企鹅你要加油啊  喜欢你的人太多太多了  你的善良会一直发光🐧  ,无,无,True,无,2020-10-13 01:15,iPhone客户端,0,0,0
JoUzghhqK,明星大咖在干嘛,明星大咖在干嘛:#德云斗笑社#德云社的男人们的过山车体验~尚九熙直接腿软，周九良整个人精神涣散！ 明星大咖在干嘛的微博视频  ,无,无,True,无,2020-10-13 01:12,微博网页,1,0,0
JoUsS0ZXw,a_YuNingNing,a_YuNingNing:#尚九熙[超话]# ☄️#尚九熙德云断头台# 需要一个晚安吻才能睡觉[馋嘴]all🈲️  原图 ,无,无,True,无,2020-10-13 00:56,尚九熙超话,31,0,4
JoUsFz03o,小马不想理,小马不想理:#尚九熙[超话]#[爱你]#尚九熙德云斗笑社# 直播讲到了没有剑的剑龙 和 食肉牛龙所以我画了(σ°∀°)σ..:*☆  [组图共2张] 原图 ,无,无,True,无,2020-10-13 00:56,尚九熙超话,91,2,26
JoUpXFgL7,九号同学1307,"转发理由://@德云尚九熙宇宙后援团:#尚九熙[超话]# #尚九熙德云斗笑社# #尚九熙德云断头台# 回放来啦～  
原始用户: 腾讯视频德云斗笑社
转发内容: #德云斗笑社##尚九熙直播#完整回放来啦！录制印象深刻的事、杀青趣事、关于恐龙的故事、家乡麻辣拌等等，都在这里了，更多精彩，不要错过http://t.cn/A6bStgo1  原图 ",无,无,False,无,2020-10-13 00:49,vivo X27,0,0,0
JoUo6t3Hk,大马猴纸舔小孩儿,"转发理由:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈尚九熙快来和我一起笑  
原始用户: 希惜兮xi
转发内容: #尚九熙[超话]#下午发的九熙版#跟着奥特曼学拍照姿势# 反响不错，于是大家期待的2.0版本我带来了，我先笑为敬，哈哈哈哈哈  [组图共12张] 原图 ",无,无,False,无,2020-10-13 00:44,iPhone客户端,0,0,0
JoUle1JtS,Crush_茶,Crush_茶:#尚九熙[超话]#我真的哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我真的太对⑧起八熙的弟弟九熙了哈哈哈哈哈哈哈哈哈哈哈哈  原图 ,无,无,True,无,2020-10-13 00:37,尚九熙超话,2,0,0
JoUkoiWG7,gameru-leeleeli,gameru-leeleeli:#尚九熙[超话]# 🦖#尚九熙德云斗笑社# 1.食肉牛龙的角不是这么用的。2.我只是单纯想画短裤（tuimao）不代表尚老师的穿着。3.顶灯真的不是企鹅。4.这个动作我纯粹为了不想画太多衣服上的图案～5.恐龙真的不会嘤嘤嘤叫唤，我也没有捎带某教授【食肉牛龙我太熟了，家大王超喜欢食肉牛龙，原因是很厉害，她经常在霸王龙/食肉牛龙/迅猛龙之中无法抉择】 原图 ,无,无,True,无,2020-10-13 00:35,尚九熙超话,899,45,154
JoUj81QdA,咻咻脸_l_l_酱酱,"转发理由:哈哈哈哈哈 xswl //@熊宝宝水晶_aaj:看你分析完，怎么想动手了呢？算了，忍忍吧，还不是我们惯的#尚九熙直播#  
原始用户: _熙望
转发内容: #尚九熙[超话]#直播总结。让画画，不画，画就不能抬头了。让出画册，他说没有时间画。让他唱歌，他说你自己去搜。让他看衣柜，他说衣柜里有人。让他上新，他说再冻一阵。让他别熬夜，他说熬夜上瘾。说要去小园子看他，他说别买溢价票，我不值那么贵的钱。那么小企鹅妈妈课堂开课了，孩子不听话咋么整！  原图 ",无,无,False,无,2020-10-13 00:32,还在坚持的iPhone 7 Plus(亮黑色),0,0,0
JoUhgq8lP,以昱啊,以昱啊:#尚九熙[超话]##尚九熙直播# #手写晚安尚九熙# Day22 今儿看尚老师直播的最大感受如图所示——  原图 ,无,无,True,无,2020-10-13 00:28,尚九熙超话,21,1,2
JoUdF7ayz,Cysissss,Cysissss:听说跟喜欢的人说晚安今天晚上会梦见他尚九熙晚安哦  原图 ,无,无,True,无,2020-10-13 00:19,iPhone,3,0,2
JoUcs0ArQ,热烈的雪天,热烈的雪天:555我可太喜欢尚九熙了（九熙叔你秃了）  [组图共2张] 原图 ,无,无,True,无,2020-10-13 00:16,HUAWEI nova 3,1,0,0
JoU7ZEZak,你的三九九九九九,你的三九九九九九:#尚九熙[超话]#把公屏打在尚八秒补齐九熙上！！！  ,无,无,True,无,2020-10-13 00:05,尚九熙超话,5,0,0
JoU40D5wu,-YAUNGAILAM,-YAUNGAILAM:#尚九熙[超话]# [給你小心心]#尚九熙德云斗笑社# 迟到的可可爱爱小螃蟹🦀️  [组图共3张] 原图 ,无,无,True,无,2020-10-12 23:55,尚九熙超话,67,4,15
JoU1ZrpL1,katrina288,katrina288:#尚九熙[超话]# 直播以后的自我介绍会不会变成:你好我叫尚九熙尚是时尚的尚九是七八九的九熙是哪个熙？哦熙比较复杂，是稀疏的稀  [组图共2张] 原图 ,无,无,True,无,2020-10-12 23:50,尚九熙超话,252,2,80
JoTXYfXCl,薛只倩,薛只倩:#尚九熙[超话]#🍬#尚九熙德云斗笑社# 下课补完尚熙熙的直播成功种草抚顺十二中的麻辣拌话说去十二中吃尚老板给报车费吗还有重庆这个天再冻一整我就穿毛衣了喂  原图 ,无,无,True,无,2020-10-12 23:40,尚九熙超话,18,0,8
JoTTjgujt,满思辰,满思辰:尚九熙  伍迪艾伦 午夜巴黎  食肉牛龙  过山车 麻辣盆儿  麻辣拌 没麻酱 波塞冬 九熙特别稳 会多演 PS：这个怼脸的直播视角特像在鱼缸边儿上看🐠  原图 ,无,无,True,无,2020-10-12 23:29,尚九熙V+,18,1,13
JoTRs3dDv,布萊恩洋子,"转发理由:#尚九熙德云斗笑社#  #尚九熙直播#  呜呜呜妈妈的小孩奶敷敷的，是很放松的在聊天的宝贝啊  
原始用户: 吸熙妙妙屋
转发内容: ▪️｜尚九熙直播记录 吸熙妙妙屋的微博视频  ",无,无,False,无,2020-10-12 23:24,Android,1,0,0
JoTOdnzKs,芯芯芯扬,"转发理由:#尚九熙德云斗笑社# //@紫旋Morado_:无水印完整版！#德云斗笑社# #尚九熙[超话]#  
原始用户: 吸熙妙妙屋
转发内容: ▪️｜尚九熙直播记录 吸熙妙妙屋的微博视频  ",无,无,False,无,2020-10-12 23:16,☁️🐧iPhone 11 Pro Max,0,0,0
JoTNdnH2a,陆小茸_一只鹿茸,陆小茸_一只鹿茸:<存档>欢迎来到断头台的直播间尚九熙直播 30mins全放送说到洋酒喝醉了要背人~ 和林崽连线了~ 麻辣烫？麻辣拌？20201012  陆小茸_一只鹿茸的微博视频  ,无,无,True,无,2020-10-12 23:14,微博视频,2,1,0
JoTMFlvEG,是甜熙熙的我啊,"转发理由:是我可可爱爱的东北熙呀#尚九熙德云斗笑社#   
原始用户: 吸熙妙妙屋
转发内容: ▪️｜尚九熙直播记录 吸熙妙妙屋的微博视频  ",无,无,False,无,2020-10-12 23:12,HUAWEI Mate 30 5G,0,0,0
JoTLUrZwv,思想在放假,思想在放假:#尚九熙[超话]##尚九熙直播#晚安。  Si Tu Vois Ma Mere (Slow)  ,无,无,True,无,2020-10-12 23:10,荣耀30 5G,1,0,0
